GRB	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]
160104A	76.808	11.334	1.7	16.2
151229A	329.363	-20.732	1.0	1.78
151228B	344.431	8.081	1.0	48.0
151215A	93.622	35.529	2.8	17.8
151210A	65.080	-71.225	1.8	94.9
151205A	229.291	35.767	1.3	62.8
151127A	19.664	-82.762	2.8	0.19
151118A	57.169	65.889	1.4	23.4
151114A	120.947	-61.033	1.8	4.86
151112A	2.050	-61.680	2.6	19.32
151111A	56.850	-44.154	1.0	76.93
151031A	83.189	-39.125	1.3	5.00
151029A	38.537	-35.356	1.8	8.95
151027B	76.188	-6.428	2.4	80.00
151027A	272.498	61.361	1.1	129.69
151023A	271.012	-8.289	1.8	10.66
151022A	349.223	55.812	2.3	116.7
151021A	337.647	-33.189	1.0	110.2
151006A	147.426	70.508	1.0	203.9
151004A	213.613	-64.956	2.3	128.40
151001B	336.974	64.637	2.1	109
151001A	233.722	10.984	1.1	8.94
150925A	227.538	-19.640	2.0	121
150915A	319.675	-34.874	2.3	164.7
150911A	67.428	5.731	1.0	7.2
150910A	5.677	33.466	2.3	112.2
150907B	255.265	-63.798	1.8	62.0
150831B	271.030	-27.243	2.0	6.2
150831A	221.034	-25.619	1.3	1.15
150821A	341.913	-57.883	1.7	172.1
150819A	42.340	9.787	2.8	52.1
150818A	230.340	68.342	1.1	123.3
150817A	249.635	-12.050	1.0	38.8
150811A	291.347	-15.434	1.9	34.00
150801B	82.961	-5.374	1.4	426
150728A	292.271	33.906	2.6	0.83
150727A	203.968	-18.320	1.0	88
150724A	97.549	-19.147	1.9	280
150722A	218.297	-35.196	2.8	67
150720A	119.577	-28.281	1.5	151
150716A	278.481	-12.978	1.1	44
150711A	221.624	-35.464	1.0	64.2
150710B	83.191	-46.960	1.2	15
150710A	194.484	14.309	1.5	0.15
150626B	187.627	66.794	1.9	48.0
150626A	111.353	-37.803	1.9	144
150616A	314.713	-53.403	1.2	599.5
150615A	107.554	-22.466	1.8	27.6
150607A	140.015	68.436	1.2	26.3
150530A	327.511	57.519	1.2	6.62
150527A	288.962	4.195	1.0	112
150430A	326.481	-27.919	1.6	107.1
150428B	292.661	4.114	1.3	130.9
150428A	188.539	6.967	1.2	53.2
150424A	152.305	-26.646	1.0	91
150423A	221.601	12.264	1.9	0.22
150403A	311.505	-62.706	1.0	40.90
150323C	192.625	50.165	2.4	159.4
150323B	260.447	38.316	1.5	~60
150323A	128.173	45.442	2.07	149.6
150318A	324.990	-61.461	1.2	83.88
150317A	138.995	55.477	1.7	23.29
150314A	126.661	63.839	1.0	14.79
150309A	277.004	86.417	1.9	242
150302A	175.515	36.852	2.8	23.74
150301B	89.159	-57.969	1.0	12.44
150301A	244.281	-48.732	1.9	0.48
150222A	198.787	-12.151	1.0	15.90
150213B	253.448	34.165	1.8	181
150212A	285.497	47.389	1.2	11.4
150211A	254.846	55.390	1.0	13.6
150206A	10.076	-63.181	1.0	83.2
150204A	160.241	-64.043	1.5	12
150203A	98.394	6.952	1.1	25.8
150202A	39.261	-33.132	1.7	25.7
150201A	11.820	-37.620	1.7	26.1
150120B	39.309	8.064	2.3	24.30
150120A	10.330	33.980	1.5	1.20
150110B	289.374	32.529	1.2	10.6
150103A	131.674	-48.896	2.0	49.1
150101B	188.044	-10.956	2.5	0.018
150101A	312.599	36.669	2.5	0.060
141229A	n/a	n/a	n/a	7
141225A	138.754	33.774	2.2	40.24
141221A	198.283	8.197	1.1	36.9
141220A	195.058	32.146	1.2	7.21
141212B	250.866	31.749	1.0	10.5
141212A	39.167	18.163	1.9	0.30
141130A	222.804	47.323	1.4	62.9
141121A	122.665	22.206	2.1	549.9
141109B	222.453	73.141	2.6	54.2
141109A	144.563	-0.581	3.0	200
141031B	356.883	41.355	2.2	16.0
141031A	128.632	-59.160	1.4	920
141026A	44.049	26.925	1.9	146
141022A	241.930	-72.152	2.2	8.72
141020A	225.054	55.328	1.7	15.55
141017A	93.601	-58.596	2.1	55.7
141015A	87.535	18.370	2.2	11.0
141005A	291.103	36.098	1.7	4.34
141004A	76.721	12.828	1.0	3.92
140930B	6.360	24.298	1.6	0.84
140927A	291.802	-65.400	2.2	6.26
140919A	221.540	-32.153	1.5	151.3
140916A	40.384	-39.688	2.4	80.1
140909A	193.638	63.494	n/a	n/a
140907A	48.133	46.596	1.4	79.2
140903A	238.021	27.608	1.0	0.30
140824A	206.627	33.285	1.7	3.09
140818B	271.168	-1.354	2.1	18.1
140817A	127.244	58.191	1.0	244
140730A	56.350	-66.580	2.1	41.3
140719A	171.571	-50.115	2.4	48
140716A	108.133	-60.150	1.5	104
140713A	281.141	59.623	1.2	5.30
140710A	41.088	35.499	1.8	3.52
140709B	146.040	63.536	1.1	155.0
140709A	304.666	51.222	1.0	98.6
140706A	49.269	-38.058	1.1	48.3
140703A	13.010	45.102	1.6	67.1
140629A	249.017	41.897	1.8	42.0
140628A	40.672	-0.378	1.0	10.5
140626A	77.163	-82.625	1.5	16.4
140622A	317.153	-14.412	2.5	0.13
140619A	27.096	-39.249	1.8	233.9
140614B	322.636	14.895	2.1	49.8
140614A	231.171	-79.110	2.4	720
140611A	349.939	-40.111	4	1.9
140610A	286.261	3.899	1.0	n/a
140529A	228.810	-41.042	1.2	4.5
140518A	227.231	42.396	1.8	60.5
140516A	252.972	39.958	2.6	0.19
140515A	186.071	15.099	1.2	23.4
140512A	289.366	-15.087	1.1	154.8
140509A	46.564	-62.662	1.9	23.20
140506A	276.806	-55.556	1.6	111.1
140502A	319.172	48.975	1.2	16.9
140430A	102.942	23.033	1.0	173.6
140428A	194.365	28.331	2.2	17.42
140423A	197.276	49.838	1.0	134
140419A	127.001	46.234	1.0	94.7
140413A	65.439	-51.188	1.3	139.6
140412A	145.032	-65.826	1.7	39.6
140408A	290.723	-12.585	1.9	4.00
140331A	134.860	2.755	3.2	209
140323A	356.975	-79.916	1.0	104.9
140320A	281.843	-11.188	2.4	0.45
140318A	184.049	20.225	2.1	8.43
140311B	252.333	52.733	1.2	70
140311A	209.293	0.607	3.8	71.4
140304A	30.653	33.480	1.0	15.6
140302A	253.862	-12.875	1.1	87.5
140301A	69.521	-34.249	1.9	31.0
140215A	104.129	41.787	1.1	84.2
140213A	105.166	-73.136	1.0	60.0
140211A	124.233	20.237	1.4	89.4
140209A	81.328	32.488	1.0	21.3
140206A	145.321	66.762	1.0	93.6
140129B	326.764	26.215	2.1	1.36
140129A	37.851	-1.594	2.2	2.99
140114A	188.498	27.942	1.9	139.7
140108A	325.129	58.749	1.0	94
140103A	232.114	37.752	1.7	17.3
140102A	211.915	1.332	1.0	65
131229A	85.236	-4.401	1.0	13.86
131227A	67.369	28.879	1.3	18.0
131205A	131.573	-60.181	2.8	37.5
131202A	344.005	-21.650	2.6	30.4
131128A	355.305	31.293	1.6	3.00
131127A	332.714	36.596	1.8	92.1
131117A	332.354	-31.761	1.8	11.00
131105A	70.973	-63.005	1.5	112.3
131103A	348.948	-44.645	1.8	17.3
131031A	29.618	-1.603	4	n/a
131030A	345.074	-5.380	1.0	41.1
131024B	144.464	44.284	2.1	64.00
131024A	290.544	-64.599	2.0	112.00
131018A	98.473	-19.897	1.3	73.22
131004A	296.108	-2.952	1.1	1.54
131002B	75.135	-75.701	1.2	39.10
